Id,Position,Name,LastName,Age,Gender,Country,Worth,Image,Sector,Company
5110,1,Jeff Bezos,Bezos,54,Male,United States,112.0,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,Technology ,Amazon
8029,2,Bill Gates,Gates,62,None,United States,90.0,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360,Technology ,Microsoft
1017,3,Warren Buffett,Buffett,87,None,United States,84.0,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,Finance And Investments ,Berkshire Hathaway
3437,4,Bernard Arnault,Arnault,69,None,None,72.0,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736,Fashion & Retail ,Lvmh
4589,5,Mark Zuckerberg,Zuckerberg,35,None,United States,71.0,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,Technology ,Facebook
1386,6,Amancio Ortega,Ortega,82,Male,None,70.0,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019,Fashion & Retail ,Zara
8213,7,Carlos Slim Helu,Slim Helu,78,Male,None,67.1,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990,Telecom ,Telecom
1939,8,Charles Koch,Koch,82,Male,None,60.0,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797,Diversified ,Koch Industries
5086,9,David Koch,Koch,78,Male,United States,60.0,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481,Diversified ,Koch Industries
6729,10,Larry Ellison,Ellison,73,Male,None,58.5,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,Technology ,Software
1206,11,Michael Bloomberg,Bloomberg,76,None,None,50.0,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,Media & Entertainment ,Bloomberg Lp
6041,12,Larry Page,Page,45,None,None,48.8,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,Technology ,Google
2474,13,Sergey Brin,Brin,44,Male,USA,47.5,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,Technology ,Google
6319,14,Jim Walton,Walton,70,Male,United States,46.4,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,Fashion & Retail ,Walmart
2345,15,S. Robson Walton,Walton,73,Male,United States,46.2,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,Fashion & Retail ,Walmart
